"hour","F0","F0.19","F0.38","F0.56","F0.75","F0.94","F1.12","F1.31","F1.5","F1.69","F1.88","F2.06","F2.25","F2.44","F2.62","F2.81","F3","F3.19","F3.38","F3.56","F3.75","F3.94","F4.12","F4.31","F4.5","F4.69","F4.88","F5.06","F5.25","F5.44","F5.62","F5.81","F6","F6.19","F6.38","F6.56","F6.75","F6.94","F7.12","F7.31","F7.5","F7.69","F7.88","F8.06","F8.25","F8.44","F8.62","F8.81","F9","F9.19","F9.38","F9.56","F9.75","F9.94","F10.12","F10.31","F10.5","F10.69","F10.88","F11.06","F11.25","F11.44","F11.62","F11.81","F12","F12.19","F12.38","F12.56","F12.75","F12.94","F13.12","F13.31","F13.5","F13.69","F13.88","F14.06","F14.25","F14.44","F14.62","F14.81","F15","F15.19","F15.38","F15.56","F15.75","F15.94","F16.12","F16.31","F16.5","F16.69","F16.88","F17.06","F17.25","F17.44","F17.62","F17.81","F18","F18.19","F18.38","F18.56","F18.75","F18.94","F19.12","F19.31","F19.5","F19.69","F19.88","F20.06","F20.25","F20.44","F20.62","F20.81","F21","F21.19","F21.38","F21.56","F21.75","F21.94","F22.12","F22.31","F22.5","F22.69","F22.88","F23.06","F23.25","F23.44","F23.62","F23.81"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105,0.236842105263158,0.131578947368421,0,0,0.105263157894737,0.105263157894737,0.342105263157895,0.342105263157895,0.105263157894737,0.0263157894736842,0.0526315789473684,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0263157894736842,0,0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0.0263157894736842,0,0,0.0263157894736842,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0263157894736842,0.105263157894737,0.0263157894736842,0.0263157894736842,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0263157894736842,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0.0263157894736842,0,0,0.236842105263158,0.289473684210526,0.0789473684210526,0.0263157894736842,0,0.0263157894736842,0.0526315789473684,0.421052631578947,0.236842105263158,0.184210526315789,0.0526315789473684,0.0263157894736842,0,0.0526315789473684,0.0263157894736842,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0263157894736842,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0789473684210526,0.0526315789473684,0.0526315789473684,0.0526315789473684,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.275,0.05,0,0,0,0.15,0.2,0.3,0.175,0,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0.05,0.025,0.025,0.025,0,0.025,0.025,0.025,0.05,0,0,0,0,0.025,0,0,0.025,0.025,0.025,0,0.025,0.075,0,0,0,0.05,0.05,0,0.025,0.025,0,0,0.025,0,0.025,0,0,0,0.15,0,0.025,0.025,0,0,0.025,0,0.025,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0.025,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.475,0.075,0,0,0.025,0.1,0.225,0.375,0.175,0.025,0,0.025,0.025,0,0,0,0,0,0,0,0,0.025,0,0,0,0,0.05,0,0.05,0,0.05,0.05,0.025,0,0.025,0,0.025,0.025,0,0,0.05,0,0.025,0.025,0,0.025,0.025,0.1,0,0.05,0,0,0.05,0,0,0.025,0,0.025,0,0,0,0.1,0.075,0.025,0.025,0.05,0.05,0.025,0,0,0.025,0.025,0,0,0.025,0,0,0.025,0,0,0.025,0,0,0,0,0,0.025,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0.05,0,0,0,0,0,0.025,0,0,0.025,0,0,0,0,0,0,0.125,0.3,0.125,0,0.05,0.025,0.125,0.275,0.2,0.225,0.15,0,0.05,0.05,0.025,0.1,0.025,0.025,0,0.025,0.025,0.05,0,0,0,0.025,0.025,0,0,0.05,0.025,0.075,0.025,0.05,0.025,0,0.025,0,0,0.025,0,0,0.025,0,0.025,0,0.025,0.05,0,0.025,0.05,0.05,0,0.025,0.05,0,0,0.025,0.05,0,0.075,0.025,0.025,0.025,0.075,0.05,0.025,0.025,0,0,0,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.175,0.05,0,0,0.05,0.025,0.15,0.075,0.3,0.275,0.1,0.05,0,0.075,0.025,0,0,0,0.025,0,0,0,0,0.025,0,0,0,0,0.05,0.025,0.025,0.025,0.025,0,0,0.025,0,0,0,0,0.025,0.025,0,0.025,0.025,0,0,0,0.05,0.05,0.025,0.025,0.025,0.05,0,0.025,0.075,0,0,0.025,0,0,0.025,0.025,0.025,0,0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0789473684210526,0.368421052631579,0.394736842105263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157894736842105,0,0,0,0,0,0.0263157894736842,0.105263157894737,0.289473684210526,0.447368421052632,0.131578947368421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0263157894736842,0,0.0263157894736842,0,0,0,0.0263157894736842,0.0263157894736842,0,0,0.0263157894736842,0.0263157894736842,0,0.0526315789473684,0,0.0526315789473684,0,0,0.0263157894736842,0.0526315789473684,0,0.0263157894736842,0,0,0,0.0263157894736842,0,0,0.0263157894736842,0,0,0.0526315789473684,0.0263157894736842,0.0263157894736842,0.0526315789473684,0.0263157894736842,0.0789473684210526,0,0,0,0,0.0263157894736842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,0,0,0.0256410256410256,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615384615384615,0.384615384615385,0,0,0.0256410256410256,0.358974358974359,0.0769230769230769,0,0,0,0,0,0,0,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.0512820512820513,0,0,0,0,0.102564102564103,0.128205128205128,0.435897435897436,0.333333333333333,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0256410256410256,0,0,0,0.0256410256410256,0,0.0256410256410256,0,0.0256410256410256,0,0.0256410256410256,0.0256410256410256,0,0,0.0256410256410256,0,0,0,0.0256410256410256,0,0,0,0,0.0256410256410256,0,0.0256410256410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",0,0,0,0.05,0,0,0.025,0.025,0,0,0.025,0,0,0,0,0,0,0,0.075,0.825,0.1,0,0,0,0.475,0.225,0.075,0.2,0.025,0,0,0,0.025,0.025,0.1,0.125,0.4,0.075,0.075,0,0.025,0.025,0.05,0.15,0.25,0.35,0.15,0.05,0,0,0,0.025,0,0.075,0.1,0.025,0.025,0.05,0.025,0.025,0,0.025,0.05,0.025,0.025,0,0.025,0.025,0.05,0.05,0.05,0.05,0,0,0,0.025,0.025,0,0.025,0.025,0.05,0.15,0.1,0.15,0.275,0.125,0.175,0.075,0.1,0.05,0.025,0.075,0.075,0.025,0,0.025,0.025,0.05,0,0,0,0,0.05,0.025,0,0,0,0.025,0,0,0.025,0,0,0.025,0.025,0,0,0,0.025,0,0,0.05,0,0.05,0,0,0.075,0
"19",0,0,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.775,0.1,0,0,0,0.075,0.075,0.4,0.4,0.1,0,0,0,0.025,0.075,0.125,0.25,0.475,0.075,0,0,0.05,0.025,0.2,0.25,0.325,0.15,0,0,0,0,0,0,0.15,0.4,0.2,0.025,0,0.075,0.075,0.05,0.025,0.05,0.175,0.075,0.075,0.05,0.15,0.15,0.05,0.15,0.1,0.125,0.125,0.125,0.075,0.15,0.15,0.075,0.05,0.05,0.025,0,0.075,0,0,0.025,0.025,0.075,0.125,0.225,0.2,0.175,0.025,0.075,0.025,0,0.05,0.05,0.025,0.15,0.075,0.075,0.125,0.55,0.2,0.025,0,0,0,0,0,0,0,0.025,0.075,0,0,0,0,0.05,0.025,0.1,0,0,0.1,0.025,0.1,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0.236842105263158,0.736842105263158,0.0263157894736842,0,0,0,0.157894736842105,0.315789473684211,0.447368421052632,0.131578947368421,0.0263157894736842,0,0,0,0,0.0789473684210526,0.157894736842105,0.394736842105263,0.315789473684211,0.0526315789473684,0,0.0263157894736842,0.0263157894736842,0.131578947368421,0.236842105263158,0.394736842105263,0.131578947368421,0.0526315789473684,0,0,0,0,0,0.0789473684210526,0.131578947368421,0.131578947368421,0.184210526315789,0.131578947368421,0.157894736842105,0.0263157894736842,0.105263157894737,0.157894736842105,0.157894736842105,0.184210526315789,0.236842105263158,0.342105263157895,0.157894736842105,0.131578947368421,0.157894736842105,0.263157894736842,0.0789473684210526,0.210526315789474,0.131578947368421,0.157894736842105,0.131578947368421,0.210526315789474,0.315789473684211,0.263157894736842,0.105263157894737,0.184210526315789,0.157894736842105,0,0.0526315789473684,0.0526315789473684,0.0263157894736842,0.0789473684210526,0.0263157894736842,0.0263157894736842,0,0.184210526315789,0.184210526315789,0.263157894736842,0.394736842105263,0.263157894736842,0.157894736842105,0.131578947368421,0.0526315789473684,0.0263157894736842,0.0526315789473684,0.105263157894737,0,0.210526315789474,0.0526315789473684,0.0263157894736842,0.184210526315789,0.552631578947368,0.184210526315789,0.0526315789473684,0,0,0,0,0,0,0,0.0263157894736842,0,0,0,0,0.0263157894736842,0,0,0.0789473684210526,0.210526315789474,0.131578947368421,0.131578947368421,0.157894736842105,0.184210526315789,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526315789473684,0.263157894736842,0.710526315789474,0,0,0,0,0.315789473684211,0.473684210526316,0.210526315789474,0.0526315789473684,0,0,0,0,0.0526315789473684,0.0789473684210526,0.263157894736842,0.394736842105263,0.157894736842105,0.0526315789473684,0,0.0526315789473684,0,0.236842105263158,0.315789473684211,0.368421052631579,0.0526315789473684,0,0,0,0.0263157894736842,0,0.0526315789473684,0.131578947368421,0.210526315789474,0.0789473684210526,0.105263157894737,0.131578947368421,0.105263157894737,0.131578947368421,0.0526315789473684,0.210526315789474,0.105263157894737,0.342105263157895,0.131578947368421,0.105263157894737,0.236842105263158,0.289473684210526,0.131578947368421,0.0263157894736842,0.0789473684210526,0.210526315789474,0.184210526315789,0.0789473684210526,0.210526315789474,0.236842105263158,0.236842105263158,0.157894736842105,0.131578947368421,0.157894736842105,0.0263157894736842,0,0.0263157894736842,0.157894736842105,0.0789473684210526,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.0526315789473684,0.0526315789473684,0.236842105263158,0.342105263157895,0.289473684210526,0.289473684210526,0.105263157894737,0.0263157894736842,0.0526315789473684,0.0526315789473684,0.105263157894737,0.0526315789473684,0.0789473684210526,0.0789473684210526,0.0526315789473684,0.157894736842105,0.0263157894736842,0.315789473684211,0.552631578947368,0.0789473684210526,0,0,0,0,0,0,0,0,0,0,0,0.0263157894736842,0.0263157894736842,0.105263157894737,0.0263157894736842,0.184210526315789,0.315789473684211,0.0789473684210526,0.157894736842105,0.105263157894737,0.394736842105263,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0512820512820513,0.282051282051282,0.666666666666667,0.0256410256410256,0,0,0.0512820512820513,0.461538461538462,0.384615384615385,0.102564102564103,0.0256410256410256,0,0,0,0,0.0512820512820513,0.153846153846154,0.205128205128205,0.487179487179487,0.0512820512820513,0.0512820512820513,0.0256410256410256,0.0769230769230769,0.0512820512820513,0.205128205128205,0.435897435897436,0.153846153846154,0.0769230769230769,0.0256410256410256,0,0.0769230769230769,0,0.0256410256410256,0.0512820512820513,0.128205128205128,0.282051282051282,0.128205128205128,0.0769230769230769,0.179487179487179,0.0769230769230769,0.0769230769230769,0.230769230769231,0.128205128205128,0.179487179487179,0.230769230769231,0.333333333333333,0.179487179487179,0.128205128205128,0.153846153846154,0.128205128205128,0.102564102564103,0.128205128205128,0.179487179487179,0.102564102564103,0.102564102564103,0.102564102564103,0.153846153846154,0.153846153846154,0.153846153846154,0.205128205128205,0.0512820512820513,0.0512820512820513,0.0512820512820513,0.0769230769230769,0.0256410256410256,0.0256410256410256,0.0769230769230769,0.0512820512820513,0.0256410256410256,0.0256410256410256,0.205128205128205,0.205128205128205,0.307692307692308,0.358974358974359,0.205128205128205,0.153846153846154,0.0769230769230769,0.0256410256410256,0.0256410256410256,0.0256410256410256,0.102564102564103,0.0769230769230769,0.153846153846154,0.153846153846154,0.0769230769230769,0.0769230769230769,0.384615384615385,0.384615384615385,0.128205128205128,0.0256410256410256,0,0,0,0,0,0,0,0.0256410256410256,0,0,0.0256410256410256,0,0.0512820512820513,0.0512820512820513,0.230769230769231,0.128205128205128,0.128205128205128,0.153846153846154,0.128205128205128,0.205128205128205,0
