"hour","F0","F0.19","F0.38","F0.56","F0.75","F0.94","F1.12","F1.31","F1.5","F1.69","F1.88","F2.06","F2.25","F2.44","F2.62","F2.81","F3","F3.19","F3.38","F3.56","F3.75","F3.94","F4.12","F4.31","F4.5","F4.69","F4.88","F5.06","F5.25","F5.44","F5.62","F5.81","F6","F6.19","F6.38","F6.56","F6.75","F6.94","F7.12","F7.31","F7.5","F7.69","F7.88","F8.06","F8.25","F8.44","F8.62","F8.81","F9","F9.19","F9.38","F9.56","F9.75","F9.94","F10.12","F10.31","F10.5","F10.69","F10.88","F11.06","F11.25","F11.44","F11.62","F11.81","F12","F12.19","F12.38","F12.56","F12.75","F12.94","F13.12","F13.31","F13.5","F13.69","F13.88","F14.06","F14.25","F14.44","F14.62","F14.81","F15","F15.19","F15.38","F15.56","F15.75","F15.94","F16.12","F16.31","F16.5","F16.69","F16.88","F17.06","F17.25","F17.44","F17.62","F17.81","F18","F18.19","F18.38","F18.56","F18.75","F18.94","F19.12","F19.31","F19.5","F19.69","F19.88","F20.06","F20.25","F20.44","F20.62","F20.81","F21","F21.19","F21.38","F21.56","F21.75","F21.94","F22.12","F22.31","F22.5","F22.69","F22.88","F23.06","F23.25","F23.44","F23.62","F23.81"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,0,0,0
"13",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0.0909090909090909,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0.0227272727272727,0,0.0227272727272727,0.0227272727272727,0,0.0681818181818182,0,0.0227272727272727,0,0,0.0681818181818182,0,0,0.0227272727272727,0,0,0.0454545454545455,0.0227272727272727,0.0227272727272727,0.0227272727272727,0,0.0227272727272727,0.0681818181818182,0.0454545454545455,0.0454545454545455,0.0227272727272727,0.0454545454545455,0.0227272727272727,0
"16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0.0227272727272727,0,0,0,0,0,0,0.113636363636364,0.204545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0.0454545454545455,0.0227272727272727,0.0227272727272727,0.0909090909090909,0.0227272727272727,0.0454545454545455,0.0227272727272727,0.0681818181818182,0.0681818181818182,0.0909090909090909,0.0454545454545455,0.0227272727272727,0.0454545454545455,0.0227272727272727,0,0.0454545454545455,0.0454545454545455,0.0227272727272727,0.0909090909090909,0,0.0454545454545455,0.0227272727272727,0.0681818181818182,0.0227272727272727,0.0681818181818182,0.113636363636364,0.0909090909090909,0.0681818181818182,0.0681818181818182,0.0681818181818182,0.0681818181818182,0
"17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409090909090909,0.0227272727272727,0,0,0,0,0.0454545454545455,0.0227272727272727,0,0,0,0,0,0,0,0,0.0681818181818182,0.181818181818182,0.295454545454545,0.136363636363636,0.0227272727272727,0.0454545454545455,0.272727272727273,0.0909090909090909,0.204545454545455,0.159090909090909,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0.0227272727272727,0,0,0.0227272727272727,0,0,0,0,0,0.0227272727272727,0,0,0.0227272727272727,0,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0.0227272727272727,0,0.0227272727272727,0.0454545454545455,0,0.113636363636364,0.0454545454545455,0.272727272727273,0.0681818181818182,0.181818181818182,0.204545454545455,0.113636363636364,0.159090909090909,0.136363636363636,0.0454545454545455,0.181818181818182,0.136363636363636,0.136363636363636,0.113636363636364,0,0.136363636363636,0.0909090909090909,0.0681818181818182,0.159090909090909,0.113636363636364,0.113636363636364,0.0909090909090909,0.113636363636364,0.113636363636364,0.113636363636364,0.136363636363636,0.0909090909090909,0.204545454545455,0.25,0.181818181818182,0.159090909090909,0.0909090909090909,0
"18",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681818181818182,0,0,0.0227272727272727,0,0,0,0.159090909090909,0.227272727272727,0.477272727272727,0.136363636363636,0,0.0681818181818182,0.522727272727273,0.386363636363636,0,0.0454545454545455,0.0227272727272727,0.0681818181818182,0.0681818181818182,0,0.0681818181818182,0.0681818181818182,0.25,0.363636363636364,0.136363636363636,0.159090909090909,0.0909090909090909,0.0681818181818182,0.181818181818182,0.227272727272727,0.25,0.159090909090909,0,0,0,0,0,0.0227272727272727,0.0227272727272727,0,0,0.0454545454545455,0,0,0,0,0.0909090909090909,0.0681818181818182,0.0681818181818182,0.113636363636364,0.136363636363636,0.113636363636364,0.0909090909090909,0.113636363636364,0.181818181818182,0.204545454545455,0.0909090909090909,0.159090909090909,0.136363636363636,0.181818181818182,0.0909090909090909,0.113636363636364,0.181818181818182,0.204545454545455,0.0227272727272727,0.113636363636364,0.159090909090909,0.0227272727272727,0,0.159090909090909,0.136363636363636,0.0909090909090909,0.0681818181818182,0.0909090909090909,0.113636363636364,0.159090909090909,0.113636363636364,0.113636363636364,0.204545454545455,0.204545454545455,0.136363636363636,0.159090909090909,0.181818181818182,0.181818181818182,0.113636363636364,0.0454545454545455,0.0909090909090909,0.0454545454545455,0.113636363636364,0.0227272727272727,0.0454545454545455,0.113636363636364,0.204545454545455,0.159090909090909,0.0681818181818182,0.0909090909090909,0.136363636363636,0.136363636363636,0.0909090909090909,0.181818181818182,0.181818181818182,0.0909090909090909,0.0909090909090909,0.0681818181818182,0.272727272727273,0.159090909090909,0.136363636363636,0.0909090909090909,0.0909090909090909,0.272727272727273,0.25,0.204545454545455,0.136363636363636,0
"19",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0,0,0.0681818181818182,0,0,0.0227272727272727,0.613636363636364,0.363636363636364,0,0,0.181818181818182,0.727272727272727,0.0909090909090909,0,0.0227272727272727,0.0227272727272727,0,0,0,0.0909090909090909,0.204545454545455,0.545454545454545,0.204545454545455,0.0454545454545455,0.0454545454545455,0.181818181818182,0.113636363636364,0.386363636363636,0.227272727272727,0.0681818181818182,0.0227272727272727,0,0.0454545454545455,0,0.0227272727272727,0,0,0,0,0,0.0681818181818182,0.0227272727272727,0.0681818181818182,0.0454545454545455,0.204545454545455,0.113636363636364,0.0909090909090909,0.25,0.204545454545455,0.204545454545455,0.159090909090909,0.363636363636364,0.159090909090909,0.136363636363636,0.204545454545455,0.272727272727273,0.272727272727273,0.272727272727273,0.204545454545455,0.159090909090909,0.318181818181818,0.272727272727273,0.204545454545455,0.204545454545455,0.204545454545455,0.25,0.204545454545455,0.136363636363636,0.204545454545455,0.181818181818182,0.181818181818182,0.363636363636364,0.159090909090909,0.136363636363636,0.0909090909090909,0.318181818181818,0.25,0.136363636363636,0.318181818181818,0.227272727272727,0.295454545454545,0.227272727272727,0.204545454545455,0.113636363636364,0.0909090909090909,0.0227272727272727,0.181818181818182,0.0681818181818182,0.0909090909090909,0.159090909090909,0.181818181818182,0.113636363636364,0.204545454545455,0.0681818181818182,0.25,0.136363636363636,0.204545454545455,0.0909090909090909,0.159090909090909,0.181818181818182,0.136363636363636,0.272727272727273,0.272727272727273,0.181818181818182,0.181818181818182,0.25,0.136363636363636,0.227272727272727,0.295454545454545,0.25,0.295454545454545,0.181818181818182,0
"20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0.0227272727272727,0,0.159090909090909,0.590909090909091,0.25,0,0,0.340909090909091,0.636363636363636,0.0227272727272727,0,0,0,0,0,0,0.0909090909090909,0.477272727272727,0.295454545454545,0.136363636363636,0.0454545454545455,0.0909090909090909,0.159090909090909,0.159090909090909,0.409090909090909,0.136363636363636,0,0,0,0.0454545454545455,0,0,0.0454545454545455,0.0227272727272727,0,0.0227272727272727,0.0681818181818182,0.0454545454545455,0.0454545454545455,0,0.0454545454545455,0.0681818181818182,0.0909090909090909,0.0454545454545455,0.340909090909091,0.113636363636364,0.204545454545455,0.136363636363636,0.181818181818182,0.181818181818182,0.295454545454545,0.159090909090909,0.113636363636364,0.340909090909091,0.318181818181818,0.136363636363636,0.159090909090909,0.113636363636364,0.25,0.25,0.25,0.204545454545455,0.0909090909090909,0.204545454545455,0.136363636363636,0.136363636363636,0.113636363636364,0.159090909090909,0.159090909090909,0.113636363636364,0.204545454545455,0.181818181818182,0.136363636363636,0.295454545454545,0.159090909090909,0.159090909090909,0.272727272727273,0.340909090909091,0.159090909090909,0.204545454545455,0.159090909090909,0.0454545454545455,0.181818181818182,0.0681818181818182,0.0909090909090909,0.0227272727272727,0.0909090909090909,0.159090909090909,0.136363636363636,0.136363636363636,0.0227272727272727,0.181818181818182,0.113636363636364,0.159090909090909,0.204545454545455,0.113636363636364,0.25,0.159090909090909,0.181818181818182,0.227272727272727,0.25,0.181818181818182,0.25,0.0454545454545455,0.113636363636364,0.318181818181818,0.204545454545455,0.181818181818182,0.204545454545455,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727272727,0.0227272727272727,0,0.272727272727273,0.545454545454545,0.0909090909090909,0,0,0.386363636363636,0.613636363636364,0,0,0,0,0,0,0.0454545454545455,0.136363636363636,0.363636363636364,0.363636363636364,0.0909090909090909,0.0227272727272727,0.0681818181818182,0.0909090909090909,0.386363636363636,0.363636363636364,0,0.0227272727272727,0,0,0,0,0,0,0,0,0,0.0227272727272727,0,0.0454545454545455,0,0.0227272727272727,0.0227272727272727,0.0909090909090909,0.0454545454545455,0.227272727272727,0.181818181818182,0.227272727272727,0.181818181818182,0.136363636363636,0.0454545454545455,0.204545454545455,0.25,0.159090909090909,0.272727272727273,0.272727272727273,0.113636363636364,0.113636363636364,0.181818181818182,0.136363636363636,0.204545454545455,0.25,0.159090909090909,0.113636363636364,0.0681818181818182,0.204545454545455,0.0909090909090909,0.113636363636364,0.227272727272727,0.159090909090909,0.181818181818182,0.0681818181818182,0.272727272727273,0.136363636363636,0.113636363636364,0.227272727272727,0.181818181818182,0.318181818181818,0.272727272727273,0.181818181818182,0.340909090909091,0.0454545454545455,0.0454545454545455,0.181818181818182,0.0681818181818182,0.159090909090909,0.181818181818182,0.0681818181818182,0.0454545454545455,0.25,0.136363636363636,0.0681818181818182,0.159090909090909,0.0681818181818182,0.159090909090909,0.272727272727273,0.0454545454545455,0.204545454545455,0.204545454545455,0.0909090909090909,0.181818181818182,0.204545454545455,0.227272727272727,0.159090909090909,0.159090909090909,0.0454545454545455,0.113636363636364,0.272727272727273,0.181818181818182,0.0909090909090909,0
"22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227272727272727,0.454545454545455,0.113636363636364,0,0,0.522727272727273,0.454545454545455,0.0227272727272727,0,0,0,0,0.0227272727272727,0.0681818181818182,0.318181818181818,0.295454545454545,0.295454545454545,0.0227272727272727,0,0.0454545454545455,0.227272727272727,0.409090909090909,0.227272727272727,0.0454545454545455,0,0.0227272727272727,0,0,0,0.0227272727272727,0.0227272727272727,0,0,0.0227272727272727,0,0.0227272727272727,0.0454545454545455,0.0227272727272727,0.0227272727272727,0.0681818181818182,0.0681818181818182,0.0909090909090909,0.0909090909090909,0.181818181818182,0.181818181818182,0.136363636363636,0.159090909090909,0.181818181818182,0.159090909090909,0.227272727272727,0.227272727272727,0.25,0.181818181818182,0.204545454545455,0,0.159090909090909,0.159090909090909,0.318181818181818,0.204545454545455,0.204545454545455,0.181818181818182,0.113636363636364,0.159090909090909,0.113636363636364,0.159090909090909,0.113636363636364,0.204545454545455,0.181818181818182,0.136363636363636,0.0909090909090909,0.136363636363636,0.181818181818182,0.159090909090909,0.227272727272727,0.272727272727273,0.0909090909090909,0.25,0.295454545454545,0.0909090909090909,0.113636363636364,0.159090909090909,0.136363636363636,0.0227272727272727,0.0909090909090909,0.0909090909090909,0.159090909090909,0.0909090909090909,0.0454545454545455,0.136363636363636,0.227272727272727,0.136363636363636,0.136363636363636,0.181818181818182,0.0454545454545455,0.181818181818182,0.136363636363636,0.227272727272727,0.0681818181818182,0.159090909090909,0.227272727272727,0.181818181818182,0.0909090909090909,0.113636363636364,0.113636363636364,0.227272727272727,0.295454545454545,0.136363636363636,0
